"X"	"text"	"coref."	"correction."	"pos."	"X.1"	"trans."	"combo"
"148"	2070	"Obama is a good guy, good work, but feel he gets more credit than he should. Extremely upset he pardon Chelsea manning."	0	NA	NA	NA	"no"	"he-Chelsea"
"149"	6746	"Obama is ending his ridiculous presidency with another ridiculous executive order, commuting the sentence of Chelsea Manning."	0	NA	NA	NA	"no"	"he-Chelsea"
"150"	7205	"Obama just had to fuck America over ONEEEE MORE TIME before he left, fuck you and Chelsea Manning"	0	NA	NA	NA	"no"	"he-Chelsea"
"151"	2127	"Obama making ransom deals again. Wonder why he pardoned Chelsea Manning? He made a deal......
https://t.co/idHLgcThpR"	0	NA	NA	NA	"no"	"he-Chelsea"
"152"	1562	"Obama missed his chance to pardon El Chapo. I mean he pardoned traitors like Chelsea Manning. https://t.co/iIbUKNKLit"	0	NA	NA	NA	"no"	"he-Chelsea"
"153"	3411	"Obama over ruled his secretary of defense to commute the sentence of former army soldier Chelsea Manning"	0	NA	NA	NA	"no"	"he-Chelsea"
"154"	2574	"Obama’s revealing final acts: His pardon of Chelsea Manning and anti-Israel UN action speaks volumes https://t.co/Yi7uebbWcE"	0	NA	NA	NA	"no"	"he-Chelsea"
"155"	2191	"oh &amp; sure he commuted chelsea manning's sentence, but don't forget he allowed her to be tortured for months &amp; get placed in a men's prison ✨"	0	NA	NA	NA	"yes"	"he-Chelsea"
"156"	2146	"On his way out, Obama has commuted the rest of Chelsea Manning’s sentence https://t.co/MWC9bvmpzK https://t.co/6oS1luZHvo"	0	NA	NA	NA	"no"	"he-Chelsea"
"157"	6042	"PARIS: J. Assange retreated from his pledge to accept extradition to the US if Chelsea Manning was granted clemency https://t.co/oM6PAQxj1y"	0	NA	NA	NA	"no"	"he-Chelsea"
"158"	5242	"Pentagon chief says he opposed cutting Chelsea Manning's prison term USER 
➡️ https://t.co/vnQZDthLLs https://t.co/cxbOlkrEEn"	0	NA	NA	NA	"no"	"he-Chelsea"
"159"	34	"President Obama commuted Chelsea Manning’s sentence over the objection of his military leaders, according to news reports.

Both Fox News a…"	0	NA	NA	NA	"no"	"he-Chelsea"
"160"	6846	"Ron Paul gets better with age. he even uses Chelsea Manning's correct pronouns

https://t.co/dbaloI8YNB"	0	NA	NA	NA	"yes"	"he-Chelsea"
"161"	7856	"Sean hannity has to simultaneously explain why he think Chelsea manning is bad but Julian Assange is cool lol"	0	NA	NA	NA	"no"	"he-Chelsea"
"162"	9995	"The first thing that Trump should do in his first 100 days is to put Chelsea Manning back in prison.  #First100Days #FoxNews"	0	NA	NA	NA	"no"	"he-Chelsea"
"163"	9510	"The lesson of the Chelsea Manning commutation: You can embarrass Obama’s country, but not his party https://t.co/SNoeGpPIIy"	0	NA	NA	NA	"no"	"he-Chelsea"
"164"	5648	"Think about Obama commuting Chelsea Manning’s sentence, after she leaked info that embarrassed his administration."	0	NA	NA	NA	"no"	"he-Chelsea"
"165"	2033	"This is what mass torturer Obama did to Chelsea Manning, years before he commuted her sentence https://t.co/C8TdfgJU56"	0	NA	NA	NA	"no"	"he-Chelsea"
